Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
1683,5/11/2022,Woodland Park,T1-KQR-0511,Ozark trail White Grey tent with Blue top and tent poles,,70 Days,7/20/2022,No,
1685,5/19/2022,24th Ave NW & Shilshole Ave NW,[Name Withheld],"Chest of hand & power tools, various extention cords, vintage style radio, suitcase of various books",,70 Days,7/28/2022,Yes,
1684,5/20/2022,Lower Judkins Park,T1-KJ-0520,"Coleman tent Dark red gray orange, pair of Nike shoes Black white gray",,70 Days,7/29/2022,Yes,
1687,5/20/2022,Victor Steinbruek Park,T1-BB-0520,"Blue grey Coleman tent, Black white adidas track pants, Blue orange O'neil Jacket, Black yellow, reflective jacket, Brown, Levi jacket, glasses, Bose CD player (no headphones), Heimvision natural energy lamp",,70 Days,7/29/2022,Yes,
1693,5/20/2022,Feeway Park,T2-WTG-0520,Large blue suitcase w/clothing,,70 Days,7/29/2022,Yes,
1694,5/20/2022,Feeway Park,T1-WTG-0520,Cloth portable cooler Blue,,70 Days,7/29/2022,Yes,
1686,5/23/2022,S Dearborn St & 10th Ave S,T2-KJ-0523,"Blue blanket, Yellow white coleman tent",,70 Days,8/1/2022,Yes,
1688,5/25/2022,Freeway Park,"[Name Withheld]
DOB [Withheld]","8 drinking cups, measuring cup, 4 bowls, spoon, spatula, small black white heater, electric panni press, green extension cord, set of clear string lights, grey lantern, brown storage box",,70 Days,8/3/2022,Yes,
1689,5/25/2022,Freeway Park,T2-KJ-0525,"Blue, green, grey Coleman tent",,70 Days,8/3/2022,Yes,
1690,5/25/2022,Freeway Park,"[Name Withheld]
DOB [Withheld]
[Phone # Withheld]","tool belt, box of candles, Kobalt 24v max charger only, 18v battery only, 2 white stick up light, 3 cans of spray paint, brown zip bag various tools, sierra design water , grey storage container, 2 camping stoves, 3 sleeping bags, coleman lantern, broken guitar a large pelican ice cooler",,70 Days,8/3/2022,Yes,
1692,5/27/2022,3rd Ave from Cherry St to James St,found on sidewalk,"Dewalt bag w/personal hygiene inside, Cellphone - appears to be an apple device, back plate broken",,70 Days,8/5/2022,Yes,
1691,5/31/2022,Victor Steinbruek Park,T1-KJ-0531,"Blue, green, grey Coleman tent",,70 Days,8/9/2022,Yes,
1695,6/3/2022,Miller Playfield,T1-JL-0603,Green tent w/poles,,70 Days,8/12/2022,Yes,
1696,6/3/2022,Miller Playfield,found in debris,"Blue bag w/red blanket, small brown box w/misc items, 2 pairs of shoes, green amazon bag w/books and misc items, green jacket, red blanket, blue bag w/ bedding, green duffle type bag w/army gear and cam clothes.",,70 Days,8/12/2022,Yes,
1699,6/8/2022,Kinnear Park Lower,T1-KJ-0608,"Swiss gear suitcase w/clothing items, Coleman Tent",,70 Days,8/17/2022,Yes,
1700,6/8/2022,Kinnear Park Lower,T3-KJ-0608,"Arcleyx backpack w/clothing items, Book pack, Coleman tent",,70 Days,8/17/2022,No,
1702,6/13/2022,12th Ave S & S Weller St,T1-KJ-0613,"Colman tent with poles red/grey, Serta inflatable matteress with box, Colman sleeping  bag, Blue suitcase w/misc clothing, Norface sleeping bag, 2 mini foldable camping chairs, 2 colman sleeping bags",,70 Days,8/22/2022,Yes,
1697,6/15/2022,Freeway Park,T1-KQR-0615,"Blue Grey Ozark trail tent, Blue suisse sport sleeping bag",,70 Days,8/24/2022,No,
1698,6/15/2022,Louise Boren Park,T1-KJ-0615,"Guitar, Sleeping bag, Underwaer, Bicycle rack only, Adidas shoes",,70 Days,8/24/2022,Yes,
